"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Custom phrases that exist only in this theme."
"###","- - - - - - - - - - - - - - - - - - - - -"
"###","Page Module"
"Results per page","Results per page"
"%s-%s of %s","%s-%s of %s"
"###","Catalog Module"
"Filter","Filter"
"View Details","View Details"
"Share on Facebook","Share on Facebook"
"Share on Twitter","Share on Twitter"
"###","Checkout Module"
"Are you sure you want to leave this page? You will need to go through the checkout steps again.","Are you sure you want to leave this page? You will need to go through the checkout steps again."
"Zip/Postal Code","Zip"
"Discount Codes?","Discount Codes?"
"###","Customer Module"
"Registration is free and easy!","Registration is free and easy!"
"Faster checkout","Faster checkout"
"Save multiple shipping addresses","Save multiple shipping addresses"
"View and track orders and more","View and track orders and more"
"Remade In Britain Newsletter","Remade In Britain Newsletter"
"Subscribe","Subscribe"
"Join our monthly mail list today for all the latest offers and more","Join our monthly mail list today for all the latest offers and more"
"View Bag","View Bag"
"Shopping Cart","Shopping Bag"
"Shopping Cart is Empty","Shopping Bag is Empty "
"You have no items in your shopping cart.","You have no items in your shopping bag."
"Update Shopping Cart","Update Shopping Bag"
"Checkout","Checkout"
"View","View"
"Not a Remade member yet","Not a Remade member yet"
"Create an Account","Create an Account"
"Become a Remade Retailer","Become a Remade Retailer"
"Forgotten your password?","Forgotten your password?"
"Account Info","Account Info"
"My Wishlist","My Wishlist"
"Compare","Compare"
"Logout","Logout"
"Retailer Registration","Retailer Registration"
"SUBMIT REGISTRATION","SUBMIT REGISTRATION"
"Menu","Menu"
"Login / Register","Login / Register"
"My Account","My Account"
"View Product","View Product"
"Add to Cart","Add to Cart"
"Limited Number Available","Limited Number Available"
"Latest Products","Latest Products"
"CONTACT US AT REMADE IN BRITAIN","CONTACT US AT REMADE IN BRITAIN"
"Please select","Please select"
"Details of your enquiry","Details of your enquiry"
"Submit Your Quiry","Submit Your Quiry"
"Read More","Read More"
"Remade Blog","Remade Blog"
"username says:","username says:"
"Your Comment","Your Comment"
"Your Name","Your Name"
"All About Remade","All About Remade"
"This Month Featured Retailer","This Month Featured Retailer"
"Get Connected","Get Connected"
"Social Media","Social Media"
"How to join us","How to join us"
"What is Upcycling?","What is Upcycling?"
"Promotions & Events","Promotions & Events"
"Materials Marketplace","Materials Marketplace"
"Remade Courses","Remade Courses"
"shop","shop"
"Account","Account"
"Information &amp; Advice","Information &amp; Advice"
"Remade","Remade"
"Delivery details","Delivery details"
"Terms &amp; conditions","Terms &amp; conditions"
"connect","connect"
"Accepted Payment","Accepted Payment"
"Tel","Tel"
"Email","Email"
"Contact Telephone number","Contact Telephone number"

